Data written by mGstat 04-Jul-2016
4
col1, unknown
col2, unknown
col3, unknown
col4, unknown
                22                   19                   21                    1
                51                    9                   22                    1
                22                   17                    8                    0
                31                    9                   20                    0
                52                    6                   19                    1
                70                    9                    4                    0
                45                   23                    3                    1
                75                   39                   14                    0
                63                    7                   28                    1
                16                   33                   10                    0
                44                   19                   17                    0
                57                    3                    6                    0
