Data written by mGstat 27-Feb-2019
4
col1, unknown
col2, unknown
col3, unknown
col4, unknown
                10                   35                    0                    0
                36                   18                    0                    0
                72                   35                    0                    0
                29                   11                    0                    0
                10                   25                    0                    0
                46                   19                    0                    1
                70                   35                    0                    0
                28                   33                    0                    0
                 4                   14                    0                    1
                12                   15                    0                    0
                 7                    5                    0                    0
                60                    2                    0                    0
