Data written by mGstat 01-Jul-2016
4
col1, unknown
col2, unknown
col3, unknown
col4, unknown
                76                   22                    0                    0
                38                   32                    0                    0
                63                   39                    0                    1
                11                   13                    0                    0
                33                   27                    0                    0
                73                    5                    0                    1
                63                   10                    0                    0
                76                   23                    0                    0
                52                   13                    0                    1
                 2                   33                    0                    0
                67                   28                    0                    0
                74                   18                    0                    0
